i, j, E, error
0, 0, -3.53046, 1.05697e-09
0, 1, -3.53046, 1.05697e-09
0, 2, -3.53046, 1.05697e-09
0, 3, -3.53046, 1.05697e-09
0, 4, -3.53046, 1.05697e-09
0, 5, -3.53046, 1.05697e-09
0, 6, -3.53046, 1.05697e-09
0, 7, -3.53046, 1.05697e-09
0, 8, -3.53046, 1.05697e-09
0, 9, -3.53046, 1.05697e-09
0, 10, -3.53046, 1.05697e-09
0, 11, -3.53046, 1.05697e-09
0, 12, -3.53046, 1.05697e-09
0, 13, -3.53046, 1.05697e-09
0, 14, -3.53046, 1.05697e-09
0, 15, -3.53046, 1.05697e-09
0, 16, -3.53046, 1.05697e-09
0, 17, -3.53046, 1.05697e-09
0, 18, -3.53046, 1.05697e-09
0, 19, -3.53046, 1.05697e-09
0, 20, -3.53046, 1.05697e-09
0, 21, -3.53046, 1.05697e-09
0, 22, -3.53046, 1.05697e-09
0, 23, -3.53046, 1.05697e-09
0, 24, -3.53046, 1.05697e-09
0, 25, -3.53046, 1.05697e-09
0, 26, -3.53046, 1.05697e-09
0, 27, -3.53046, 1.05697e-09
0, 28, -3.53046, 1.05697e-09
0, 29, -3.53046, 1.05697e-09
0, 30, -3.53046, 1.05697e-09
0, 31, -3.53046, 1.05697e-09
0, 32, -3.53046, 1.05697e-09
0, 33, -3.53046, 1.05697e-09
0, 34, -3.53046, 1.05697e-09
0, 35, -3.53046, 1.05697e-09
0, 36, -3.53046, 1.05697e-09
0, 37, -3.53046, 1.05697e-09
0, 38, -3.53046, 1.05697e-09
0, 39, -3.53046, 1.05697e-09
0, 40, -3.53046, 1.05697e-09
0, 41, -3.53046, 1.05697e-09
0, 42, -3.53046, 1.05697e-09
0, 43, -3.53046, 1.05697e-09
0, 44, -3.53046, 1.05697e-09
0, 45, -3.53046, 1.05697e-09
0, 46, -3.53046, 1.05697e-09
0, 47, -3.53046, 1.05697e-09
0, 48, -3.53046, 1.05697e-09
0, 49, -3.53046, 1.05697e-09
0, 50, -3.53046, 1.05697e-09
0, 51, -3.53046, 1.05697e-09
0, 52, -3.53046, 1.05697e-09
0, 53, -3.53046, 1.05697e-09
0, 54, -3.53046, 1.05697e-09
0, 55, -3.53046, 1.05697e-09
0, 56, -3.53046, 1.05697e-09
0, 57, -3.53046, 1.05697e-09
0, 58, -3.53046, 1.05697e-09
0, 59, -3.53046, 1.05697e-09
0, 60, -3.53046, 1.05697e-09
0, 61, -3.53046, 1.05697e-09
0, 62, -3.53046, 1.05697e-09
0, 63, -3.53046, 1.05697e-09
1, 0, -5.59584, 1.07358e-09
1, 1, -5.59584, 1.07358e-09
1, 2, -5.59584, 1.07358e-09
1, 3, -5.59584, 1.07358e-09
1, 4, -5.59584, 1.07358e-09
1, 5, -5.59584, 1.07358e-09
1, 6, -5.59584, 1.07358e-09
1, 7, -5.59584, 1.07358e-09
1, 8, -5.59584, 1.07358e-09
1, 9, -5.59584, 1.07358e-09
1, 10, -5.59584, 1.07358e-09
1, 11, -5.59584, 1.07358e-09
1, 12, -5.59584, 1.07358e-09
1, 13, -5.59584, 1.07358e-09
1, 14, -5.59584, 1.07358e-09
1, 15, -5.59584, 1.07358e-09
1, 16, -5.59584, 1.07358e-09
1, 17, -5.59584, 1.07358e-09
1, 18, -5.59584, 1.07358e-09
1, 19, -5.59584, 1.07358e-09
