GaussianWavefunction wavefn(1, errors[i], 256);

Error Tol. || Time || Error || Value
0.1 || 6032.75 ms || 0.00137167 eV || -35.7438 eV
0.09 || 43322 ms || 0.0023594 eV || -38.7536 eV
0.08 || 14514.1 ms || 3.89116e-05 eV || -37.3932 eV
0.07 || 31398.3 ms || 0.00175872 eV || -39.9902 eV
0.06 || 50326.4 ms || 0.00115222 eV || -28.5405 eV
0.05 || 142008 ms || 0.00127245 eV || -21.5144 eV
0.04 || 168104 ms || 0.00283234 eV || -16.7434 eV
0.03 || 177469 ms || 0.00167838 eV || -34.0095 eV
0.02 || 257048 ms || 0.00178753 eV || -63.1381 eV
0.01 || 836130 ms || 0.00256018 eV || -86.022 eV
0.005 || 1.0719e+06 ms || 0.000674202 eV || -54.283 eV
0.0025 || 732837 ms || 0 eV || -41.4313 eV
