Monte Carlo

Scale || Time || Error || Value
1e-10 || 2052.11 ms || 262123 eV || -1.16447e-07 eV
1e-05 || 2019.2 ms || 2.8715 eV || -3.675e-05 eV
0.0001 || 2017.18 ms || 0.245051 eV || -0.000114158 eV
0.001 || 2014.46 ms || 0.0209813 eV || -0.000306149 eV
0.01 || 2014.22 ms || 0.000577489 eV || -0.000421039 eV
0.1 || 2014.01 ms || 1.80682e-05 eV || -0.00042099 eV
1 || 2013.2 ms || 5.71164e-07 eV || -0.000418348 eV
10 || 2019.84 ms || 1.80609e-08 eV || -0.00039193 eV
100 || 2014.21 ms || 5.71134e-10 eV || -0.000127741 eV
1000 || 2014.23 ms || 1.80608e-11 eV || 0.00251414 eV
10000 || 2014.44 ms || 5.71134e-13 eV || 0.028933 eV
100000 || 2015.9 ms || 1.80609e-14 eV || 0.293121 eV
1e+10 || 2014.01 ms || 5.71134e-22 eV || 29354.2 eV
