Scale, Error, Expectation
1, 0.00132872, -0.0116351
501, 2.65215e-06, -0.259023
1001, 1.3274e-06, -0.365272
1501, 8.85227e-07, -0.446482
2001, 6.64031e-07, -0.514724
2501, 5.31277e-07, -0.574675
3001, 4.42761e-07, -0.628737
3501, 3.79527e-07, -0.678335
4001, 3.32098e-07, -0.724399
4501, 2.95207e-07, -0.767575
5001, 2.65692e-07, -0.808333
5501, 2.41542e-07, -0.847028
6001, 2.21417e-07, -0.883935
6501, 2.04388e-07, -0.919275
7001, 1.89791e-07, -0.953224
7501, 1.7714e-07, -0.985929
8001, 1.6607e-07, -1.01751
8501, 1.56302e-07, -1.04808
9001, 1.4762e-07, -1.07772
9501, 1.39851e-07, -1.1065
10001, 1.32859e-07, -1.1345
10501, 1.26533e-07, -1.16177
11001, 1.20782e-07, -1.18837
11501, 1.15531e-07, -1.21433
12001, 1.10718e-07, -1.2397
12501, 1.0629e-07, -1.26452
13001, 1.02202e-07, -1.28882
13501, 9.84168e-08, -1.31263
14001, 9.49022e-08, -1.33598
14501, 9.16299e-08, -1.35888
15001, 8.85758e-08, -1.38137
15501, 8.57187e-08, -1.40346
16001, 8.30401e-08, -1.42518
16501, 8.05239e-08, -1.44654
17001, 7.81557e-08, -1.46755
17501, 7.59228e-08, -1.48823
18001, 7.3814e-08, -1.5086
18501, 7.18191e-08, -1.52867
19001, 6.99292e-08, -1.54845
19501, 6.81363e-08, -1.56796
20001, 6.64329e-08, -1.58719
20501, 6.48127e-08, -1.60617
21001, 6.32696e-08, -1.6249
21501, 6.17983e-08, -1.64339
22001, 6.03938e-08, -1.66165
22501, 5.90518e-08, -1.67969
23001, 5.77681e-08, -1.69751
23501, 5.65391e-08, -1.71512
24001, 5.53612e-08, -1.73254
24501, 5.42315e-08, -1.74975
25001, 5.31469e-08, -1.76678
25501, 5.21048e-08, -1.78362
26001, 5.11028e-08, -1.80028
26501, 5.01387e-08, -1.81677
27001, 4.92102e-08, -1.8331
27501, 4.83155e-08, -1.84925
28001, 4.74528e-08, -1.86525
28501, 4.66203e-08, -1.88109
29001, 4.58165e-08, -1.89678
29501, 4.504e-08, -1.91233
30001, 4.42894e-08, -1.92773
30501, 4.35633e-08, -1.94299
31001, 4.28607e-08, -1.95811
31501, 4.21804e-08, -1.9731
32001, 4.15214e-08, -1.98796
32501, 4.08826e-08, -2.0027
33001, 4.02632e-08, -2.01731
33501, 3.96623e-08, -2.0318
34001, 3.9079e-08, -2.04617
34501, 3.85127e-08, -2.06042
35001, 3.79625e-08, -2.07456
35501, 3.74278e-08, -2.08859
36001, 3.6908e-08, -2.10251
36501, 3.64024e-08, -2.11632
37001, 3.59105e-08, -2.13003
37501, 3.54317e-08, -2.14364
38001, 3.49655e-08, -2.15714
38501, 3.45114e-08, -2.17055
39001, 3.4069e-08, -2.18387
39501, 3.36378e-08, -2.19708
40001, 3.32173e-08, -2.21021
40501, 3.28072e-08, -2.22324
41001, 3.24071e-08, -2.23619
41501, 3.20167e-08, -2.24905
42001, 3.16356e-08, -2.26182
42501, 3.12634e-08, -2.2745
43001, 3.08999e-08, -2.28711
43501, 3.05447e-08, -2.29963
44001, 3.01976e-08, -2.31207
44501, 2.98583e-08, -2.32444
45001, 2.95266e-08, -2.33672
45501, 2.92021e-08, -2.34893
46001, 2.88847e-08, -2.36107
46501, 2.85741e-08, -2.37313
47001, 2.82701e-08, -2.38512
47501, 2.79726e-08, -2.39703
48001, 2.76812e-08, -2.40888
48501, 2.73958e-08, -2.42066
49001, 2.71163e-08, -2.43237
49501, 2.68424e-08, -2.44401
50001, 2.6574e-08, -2.45559
50501, 2.63109e-08, -2.4671
51001, 2.60529e-08, -2.47855
51501, 2.58e-08, -2.48993
52001, 2.55519e-08, -2.50125
52501, 2.53086e-08, -2.51251
53001, 2.50698e-08, -2.52371
53501, 2.48355e-08, -2.53485
54001, 2.46056e-08, -2.54594
54501, 2.43798e-08, -2.55696
55001, 2.41582e-08, -2.56793
55501, 2.39406e-08, -2.57884
56001, 2.37268e-08, -2.58969
56501, 2.35168e-08, -2.60049
57001, 2.33106e-08, -2.61124
57501, 2.31079e-08, -2.62193
58001, 2.29087e-08, -2.63257
58501, 2.27129e-08, -2.64316
59001, 2.25204e-08, -2.65369
59501, 2.23311e-08, -2.66418
60001, 2.2145e-08, -2.67461
60501, 2.1962e-08, -2.685
61001, 2.1782e-08, -2.69533
61501, 2.16049e-08, -2.70562
62001, 2.14307e-08, -2.71586
62501, 2.12593e-08, -2.72606
63001, 2.10905e-08, -2.7362
63501, 2.09245e-08, -2.74631
64001, 2.0761e-08, -2.75636
64501, 2.06001e-08, -2.76637
65001, 2.04416e-08, -2.77634
65501, 2.02856e-08, -2.78626
66001, 2.01319e-08, -2.79614
66501, 1.99805e-08, -2.80598
67001, 1.98314e-08, -2.81577
67501, 1.96845e-08, -2.82552
68001, 1.95398e-08, -2.83523
68501, 1.93972e-08, -2.8449
69001, 1.92566e-08, -2.85453
69501, 1.91181e-08, -2.86412
70001, 1.89815e-08, -2.87366
70501, 1.88469e-08, -2.88317
71001, 1.87142e-08, -2.89264
71501, 1.85833e-08, -2.90208
72001, 1.84543e-08, -2.91147
72501, 1.8327e-08, -2.92083
73001, 1.82015e-08, -2.93015
73501, 1.80776e-08, -2.93943
74001, 1.79555e-08, -2.94868
74501, 1.7835e-08, -2.95789
75001, 1.77161e-08, -2.96706
75501, 1.75988e-08, -2.9762
76001, 1.7483e-08, -2.9853
76501, 1.73687e-08, -2.99437
77001, 1.72559e-08, -3.0034
77501, 1.71446e-08, -3.01241
78001, 1.70347e-08, -3.02137
78501, 1.69262e-08, -3.03031
79001, 1.68191e-08, -3.03921
79501, 1.67133e-08, -3.04807
80001, 1.66089e-08, -3.05691
80501, 1.65057e-08, -3.06571
81001, 1.64038e-08, -3.07448
81501, 1.63032e-08, -3.08322
82001, 1.62038e-08, -3.09193
82501, 1.61056e-08, -3.10061
83001, 1.60085e-08, -3.10925
83501, 1.59127e-08, -3.11787
84001, 1.5818e-08, -3.12646
84501, 1.57244e-08, -3.13501
85001, 1.56319e-08, -3.14354
85501, 1.55405e-08, -3.15203
86001, 1.54501e-08, -3.1605
86501, 1.53608e-08, -3.16894
87001, 1.52725e-08, -3.17735
87501, 1.51853e-08, -3.18573
88001, 1.5099e-08, -3.19409
88501, 1.50137e-08, -3.20242
89001, 1.49293e-08, -3.21071
89501, 1.48459e-08, -3.21898
90001, 1.47634e-08, -3.22723
90501, 1.46819e-08, -3.23545
91001, 1.46012e-08, -3.24364
91501, 1.45214e-08, -3.2518
92001, 1.44425e-08, -3.25994
92501, 1.43644e-08, -3.26805
93001, 1.42872e-08, -3.27613
93501, 1.42108e-08, -3.28419
94001, 1.41352e-08, -3.29223
94501, 1.40604e-08, -3.30024
95001, 1.39864e-08, -3.30822
95501, 1.39132e-08, -3.31618
96001, 1.38407e-08, -3.32412
96501, 1.3769e-08, -3.33203
97001, 1.36981e-08, -3.33992
97501, 1.36278e-08, -3.34778
98001, 1.35583e-08, -3.35562
98501, 1.34895e-08, -3.36343
99001, 1.34213e-08, -3.37122
99501, 1.33539e-08, -3.37899
100001, 1.32871e-08, -3.38673
100501, 1.3221e-08, -3.39446
101001, 1.31556e-08, -3.40215
101501, 1.30908e-08, -3.40983
102001, 1.30266e-08, -3.41748
102501, 1.2963e-08, -3.42511
103001, 1.29001e-08, -3.43272
103501, 1.28378e-08, -3.44031
104001, 1.27761e-08, -3.44787
104501, 1.2715e-08, -3.45542
105001, 1.26544e-08, -3.46294
105501, 1.25944e-08, -3.47044
106001, 1.2535e-08, -3.47792
106501, 1.24762e-08, -3.48538
107001, 1.24179e-08, -3.49281
107501, 1.23601e-08, -3.50023
108001, 1.23029e-08, -3.50763
108501, 1.22462e-08, -3.515
109001, 1.219e-08, -3.52236
109501, 1.21344e-08, -3.52969
